City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Rantauprapat,ID,2.1,99.8333,85.66,67,77,2.95,broken clouds
277,Falmouth,GB,50.1544,-5.0711,39.85,85,7,4.76,clear sky
278,Golden,US,39.7555,-105.2211,38.46,49,0,1.99,clear sky
279,Hearst,CA,49.6835,-83.6665,4.82,96,100,4.81,light snow
280,Dicabisagan,PH,17.0818,122.4157,80.29,86,35,6.51,scattered clouds
281,Rundu,NA,-17.9333,19.7667,65.64,96,98,4.68,overcast clouds
282,Barwani,IN,22.0333,74.9,68.31,23,0,3.15,clear sky
283,Pangoa,PE,-12.1167,-73.0,67.21,99,79,2.37,broken clouds
284,Chodavaram,IN,17.8333,82.95,71.44,47,58,1.23,broken clouds
285,Lahuachaca,BO,-17.3667,-67.6667,44.15,90,100,8.61,overcast clouds
286,Bang Saphan,TH,11.2126,99.5117,90.14,44,35,1.07,scattered clouds
287,Nanakuli,US,21.3906,-158.1547,77.99,69,18,5.7,few clouds
288,Aswan,EG,24.0934,32.907,47.1,55,0,9.13,clear sky
289,Warmbad,NA,-28.45,18.7333,82.8,38,100,7.16,overcast clouds
290,Bandarbeyla,SO,9.4942,50.8122,75.25,69,100,17.29,overcast clouds
291,Guiratinga,BR,-16.3494,-53.7583,70.41,97,100,3.98,overcast clouds
292,Makakilo City,US,21.3469,-158.0858,76.57,62,9,5.14,clear sky
293,Furstenwalde,DE,52.3667,14.0667,43.99,76,98,30.11,overcast clouds
294,Yankton,US,42.8711,-97.3973,32.11,60,73,8.68,broken clouds
295,Teshie,GH,5.5836,-0.1072,78.89,83,29,4.76,scattered clouds
296,Mehamn,NO,71.0357,27.8492,18.16,87,82,5.84,broken clouds
297,Altamont,US,42.2068,-121.7372,38.79,64,0,0.0,clear sky
298,Merauke,ID,-8.4667,140.3333,82.0,77,100,3.47,light rain
299,Lagoa,PT,39.05,-27.9833,57.92,70,7,16.8,clear sky
300,Atagay,RU,55.1033,99.3875,5.2,84,33,2.73,scattered clouds
301,At-Bashi,KG,41.1702,75.8106,9.97,77,100,0.98,overcast clouds
302,Thiers,FR,45.8333,3.5,37.72,98,100,0.51,overcast clouds
303,Mindelo,CV,16.8901,-24.9804,68.94,68,100,17.0,overcast clouds
304,Gizo,SB,-8.103,156.8419,83.37,75,87,6.51,light rain
305,Haines Junction,CA,60.7522,-137.5108,8.92,97,100,3.62,light snow
306,Sharan,RU,54.8167,54.0,12.9,95,99,6.6,overcast clouds
307,Arlit,NE,18.7369,7.3853,58.44,18,3,5.23,clear sky
308,Tchollire,CM,8.4022,14.1698,61.93,22,80,2.06,broken clouds
309,Vadso,NO,70.0744,29.7487,0.48,84,66,7.54,broken clouds
310,Castlemaine,AU,-37.0667,144.2167,91.27,39,43,5.59,scattered clouds
311,Daru,PG,-9.0763,143.2092,83.26,73,99,10.63,overcast clouds
312,Kachug,RU,53.9606,105.8817,-6.63,95,100,1.34,overcast clouds
313,Grindavik,IS,63.8424,-22.4338,34.27,93,75,11.5,broken clouds
314,Champerico,GT,14.3,-91.9167,76.77,72,75,1.88,broken clouds
